version,date_last_valid,file_name
10,,EUCAST_bacteria_breakpoint_table_v10.0.xlsx
9,2019-12-31,EUCAST_bacteria_breakpoint_table_v09.0.xlsx
8.1,2018-12-31,EUCAST_bacteria_breakpoint_table_v08.1.xlsx
8,2018-05-16,EUCAST_bacteria_breakpoint_table_v08.0.xlsx
7.1,2017-12-31,EUCAST_bacteria_breakpoint_table_v07.1.xls
6,2016-12-31,EUCAST_bacteria_breakpoint_table_v06.0.xls
5,2015-12-31,EUCAST_bacteria_breakpoint_table_v05.0.xls
4,2014-12-31,EUCAST_bacteria_breakpoint_table_v04.0.xls
3.1,2013-12-31,EUCAST_bacteria_breakpoint_table_v03.1.xls
2,2012-12-31,EUCAST_bacteria_breakpoint_table_v02.0_120221.xls
1.3,2011-12-31,EUCAST_bacteria_breakpoint_table_v01.3.xls
1.2,2011-01-05,EUCAST_bacteria_breakpoint_table_v01.2_101220.xls
1.1,2010-12-21,EUCAST_bacteria_breakpoint_table_v01.1.xls
1,2010-04-27,EUCAST_bacteria_breakpoint_table_v01.0_20091221.xls
